locus_tag	ftype	length_bp	gene	EC_number	COG	product
PGJBDIIN_00001	CDS	1383	dnaA_1		COG0593	Chromosomal replication initiator protein DnaA
PGJBDIIN_00002	CDS	1275				hypothetical protein
PGJBDIIN_00003	tRNA	88				tRNA-Leu(gag)
PGJBDIIN_00004	CDS	1083	ribBA	3.5.4.25		Riboflavin biosynthesis protein RibBA
PGJBDIIN_00005	CDS	681				hypothetical protein
PGJBDIIN_00006	CDS	801	virB9		COG3504	Type IV secretion system protein virB9
PGJBDIIN_00007	CDS	1356				hypothetical protein
PGJBDIIN_00008	CDS	993			COG0630	Type IV secretion system protein VirB11
PGJBDIIN_00009	CDS	1947				hypothetical protein
PGJBDIIN_00010	CDS	849				hypothetical protein
PGJBDIIN_00011	CDS	840	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
PGJBDIIN_00012	CDS	495				hypothetical protein
PGJBDIIN_00013	CDS	480	rpsG		COG0049	30S ribosomal protein S7
PGJBDIIN_00014	CDS	2076	fusA		COG0480	Elongation factor G
PGJBDIIN_00015	CDS	1173	tufA_1		COG0050	Elongation factor Tu
PGJBDIIN_00016	tRNA	74				tRNA-Trp(cca)
PGJBDIIN_00017	CDS	837	nusG			Transcription termination/antitermination protein NusG
PGJBDIIN_00018	CDS	441	rplK		COG0080	50S ribosomal protein L11
PGJBDIIN_00019	CDS	654	rplA		COG0081	50S ribosomal protein L1
PGJBDIIN_00020	CDS	519	rplJ		COG0244	50S ribosomal protein L10
PGJBDIIN_00021	CDS	402	rplL			50S ribosomal protein L7/L12
PGJBDIIN_00022	CDS	8514	rpoBC	2.7.7.6	COG0085	Bifunctional DNA-directed RNA polymerase subunit beta-beta'
PGJBDIIN_00023	CDS	963	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
PGJBDIIN_00024	CDS	540				hypothetical protein
PGJBDIIN_00025	CDS	477				hypothetical protein
PGJBDIIN_00026	CDS	141				hypothetical protein
PGJBDIIN_00027	CDS	1302	serS	6.1.1.11	COG0172	Serine--tRNA ligase
PGJBDIIN_00028	CDS	1272	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
PGJBDIIN_00029	CDS	273				hypothetical protein
PGJBDIIN_00030	CDS	1263				hypothetical protein
PGJBDIIN_00031	CDS	618				hypothetical protein
PGJBDIIN_00032	CDS	867				hypothetical protein
PGJBDIIN_00033	CDS	927	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
PGJBDIIN_00034	CDS	354	GATC	6.3.5.-		Glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial
PGJBDIIN_00035	CDS	1263	tolB		COG0823	Tol-Pal system protein TolB
PGJBDIIN_00036	CDS	1668	rnj1	3.1.-.-		Ribonuclease J 1
PGJBDIIN_00037	CDS	1119	dnaJ		COG0484	Chaperone protein DnaJ
PGJBDIIN_00038	tRNA	78				tRNA-Arg(acg)
PGJBDIIN_00039	CDS	636				hypothetical protein
PGJBDIIN_00040	CDS	141				hypothetical protein
PGJBDIIN_00041	CDS	114				hypothetical protein
PGJBDIIN_00042	CDS	411				hypothetical protein
PGJBDIIN_00043	CDS	687				hypothetical protein
