locus_tag	ftype	length_bp	gene	EC_number	COG	product
EHLCDNJP_00001	CDS	1383	dnaA_1			Chromosomal replication initiator protein DnaA
EHLCDNJP_00002	CDS	1275				hypothetical protein
EHLCDNJP_00003	tRNA	88				tRNA-Leu(gag)
EHLCDNJP_00004	CDS	1083	ribBA	3.5.4.25		Riboflavin biosynthesis protein RibBA
EHLCDNJP_00005	CDS	681	virB8		COG3736	Type IV secretion system protein virB8
EHLCDNJP_00006	CDS	801	virB9		COG3504	Type IV secretion system protein virB9
EHLCDNJP_00007	CDS	1461				hypothetical protein
EHLCDNJP_00008	CDS	993			COG0630	Type IV secretion system protein VirB11
EHLCDNJP_00009	CDS	1947				hypothetical protein
EHLCDNJP_00010	CDS	849				hypothetical protein
EHLCDNJP_00011	CDS	840	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
EHLCDNJP_00012	CDS	375	rpsL			30S ribosomal protein S12
EHLCDNJP_00013	CDS	480	rpsG		COG0049	30S ribosomal protein S7
EHLCDNJP_00014	CDS	2076	fusA		COG0480	Elongation factor G
EHLCDNJP_00015	CDS	1173	tufA_1		COG0050	Elongation factor Tu
EHLCDNJP_00016	tRNA	74				tRNA-Trp(cca)
EHLCDNJP_00017	CDS	837	nusG			Transcription termination/antitermination protein NusG
EHLCDNJP_00018	CDS	441	rplK		COG0080	50S ribosomal protein L11
EHLCDNJP_00019	CDS	654	rplA		COG0081	50S ribosomal protein L1
EHLCDNJP_00020	CDS	519	rplJ		COG0244	50S ribosomal protein L10
EHLCDNJP_00021	CDS	402	rplL			50S ribosomal protein L7/L12
EHLCDNJP_00022	CDS	8514	rpoBC	2.7.7.6	COG0085	Bifunctional DNA-directed RNA polymerase subunit beta-beta'
EHLCDNJP_00023	CDS	963	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
EHLCDNJP_00024	CDS	540				hypothetical protein
EHLCDNJP_00025	CDS	477				hypothetical protein
EHLCDNJP_00026	CDS	141				hypothetical protein
EHLCDNJP_00027	CDS	1299	serS	6.1.1.11	COG0172	Serine--tRNA ligase
EHLCDNJP_00028	CDS	1272	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
EHLCDNJP_00029	CDS	273				hypothetical protein
EHLCDNJP_00030	CDS	1263				hypothetical protein
EHLCDNJP_00031	CDS	618				hypothetical protein
EHLCDNJP_00032	CDS	867				hypothetical protein
EHLCDNJP_00033	CDS	927	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
EHLCDNJP_00034	CDS	354	GATC	6.3.5.-		Glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial
EHLCDNJP_00035	CDS	1263	tolB		COG0823	Tol-Pal system protein TolB
EHLCDNJP_00036	CDS	1668	rnj1	3.1.-.-		Ribonuclease J 1
EHLCDNJP_00037	CDS	1119	dnaJ		COG0484	Chaperone protein DnaJ
EHLCDNJP_00038	tRNA	78				tRNA-Arg(acg)
EHLCDNJP_00039	CDS	636				hypothetical protein
EHLCDNJP_00040	CDS	141				hypothetical protein
EHLCDNJP_00041	CDS	114				hypothetical protein
EHLCDNJP_00042	CDS	411				hypothetical protein
EHLCDNJP_00043	CDS	687				hypothetical protein
EHLCDNJP_00044	CDS	342			COG3039	IS5 family transposase ISWpi1
EHLCDNJP_00045	CDS	381			COG3039	IS5 family transposase ISWpi1
EHLCDNJP_00046	CDS	402				hypothetical protein
EHLCDNJP_00047	CDS	801				hypothetical protein
EHLCDNJP_00048	CDS	408				hypothetical protein
EHLCDNJP_00049	CDS	276			COG3385	IS4 family transposase ISWosp2
EHLCDNJP_00050	CDS	318			COG3385	IS4 family transposase ISWosp2
EHLCDNJP_00051	CDS	168				hypothetical protein
EHLCDNJP_00052	CDS	258				hypothetical protein
EHLCDNJP_00053	CDS	642				hypothetical protein
EHLCDNJP_00054	CDS	1539	pepA	3.4.11.10		cytosol aminopeptidase
EHLCDNJP_00055	CDS	1188				hypothetical protein
EHLCDNJP_00056	CDS	306	ihfA		COG0776	Integration host factor subunit alpha
EHLCDNJP_00057	CDS	327				hypothetical protein
EHLCDNJP_00058	CDS	597				hypothetical protein
EHLCDNJP_00059	CDS	2517	leuS	6.1.1.4		Leucine--tRNA ligase
EHLCDNJP_00060	CDS	636				hypothetical protein
EHLCDNJP_00061	CDS	132				hypothetical protein
EHLCDNJP_00062	CDS	165				hypothetical protein
EHLCDNJP_00063	CDS	162				hypothetical protein
EHLCDNJP_00064	CDS	198				hypothetical protein
EHLCDNJP_00065	CDS	294				hypothetical protein
EHLCDNJP_00066	CDS	708	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
EHLCDNJP_00067	CDS	312			COG0776	DNA-binding protein HRL53
EHLCDNJP_00068	CDS	456	rpsI		COG0103	30S ribosomal protein S9
EHLCDNJP_00069	CDS	459	rplM		COG0102	50S ribosomal protein L13
